,Position,Track Name,Artist,Streams
164,165,Dancing With A Stranger (with Normani),Sam Smith,5593786
165,166,Jocelyn Flores,XXXTENTACION,5593254
166,167,Young & Alive,Bazzi,5578323
167,168,SICKO MODE,Travis Scott,5552495
168,169,i'm so tired...,Lauv,5547770
169,170,Money In The Grave (Drake ft. Rick Ross),Drake,5512610
170,171,Good as Hell (feat. Ariana Grande),Lizzo,5489864
171,172,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,5487069
172,173,Better Now,Post Malone,5452948
173,174,Perfect,Ed Sheeran,5448991
174,175,Girl,Myke Towers,5434180
175,176,Lights Up,Harry Styles,5396798
176,177,Maniac,Conan Gray,5383041
177,178,Puesto Pa' Guerrial,Bad Bunny,5359969
178,179,I Like Me Better,Lauv,5350998
179,180,Dior,Pop Smoke,5348030
180,181,goosebumps,Travis Scott,5343318
181,182,Eastside (with Halsey & Khalid),benny blanco,5336831
182,183,Definitivamente,Daddy Yankee,5325447
183,184,Piece Of Your Heart,MEDUZA,5322005
184,185,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,5319259
185,186,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,5315827
186,187,Can We Kiss Forever?,Kina,5307209
187,188,Sweet but Psycho,Ava Max,5302605
188,189,Boy With Luv (feat. Halsey),BTS,5273655
189,190,I Fall Apart,Post Malone,5251918
190,191,"fuck, i'm lonely (with Anne-Marie)",Lauv,5226991
191,192,No Judgement,Niall Horan,5211607
192,193,Aventura,Lunay,5206102
193,194,"thank u, next",Ariana Grande,5203820
194,195,Rare,Selena Gomez,5195842
195,196,Higher Love,Kygo,5168874
196,197,Girls Like You (feat. Cardi B),Maroon 5,5166429
197,198,Adicto (with Anuel AA & Ozuna),Tainy,5138808
198,199,VIBEZ,DaBaby,5121486
199,200,Mean It,Lauv,5110064
0,1,Blinding Lights,The Weeknd,38959007
1,2,The Box,Roddy Ricch,36721509
2,3,Dance Monkey,Tones And I,33770756
3,4,Don't Start Now,Dua Lipa,30233523
4,5,Intentions (feat. Quavo),Justin Bieber,24846055
5,6,Say So,Doja Cat,24636152
6,7,Falling,Trevor Daniel,23410869
7,8,Tusa,KAROL G,23183142
8,9,Safaera,Bad Bunny,22886729
9,10,La Difícil,Bad Bunny,22423602
10,11,ROXANNE,Arizona Zervas,22071850
11,12,death bed (coffee for your head),Powfu,21204677
12,13,Si Veo a Tu Mamá,Bad Bunny,19948575
13,14,Godzilla (feat. Juice WRLD),Eminem,19896600
14,15,Roses - Imanbek Remix,SAINt JHN,19252262
15,16,Ignorantes,Bad Bunny,18670822
16,17,Blueberry Faygo,Lil Mosey,18598886
17,18,Circles,Post Malone,18564709
18,19,Sunday Best,Surfaces,18489291
19,20,Someone You Loved,Lewis Capaldi,18090471
20,21,Memories,Maroon 5,16123993
21,22,Supalonely,BENEE,15739716
22,23,Adore You,Harry Styles,15509904
23,24,Yummy,Justin Bieber,15261992
24,25,Life Is Good (feat. Drake),Future,14895843
25,26,everything i wanted,Billie Eilish,14459714
26,27,Rojo,J Balvin,14405081
27,28,bad guy,Billie Eilish,14334815
28,29,Physical,Dua Lipa,13924737
29,30,La Santa,Bad Bunny,13753651
30,31,Vete,Bad Bunny,13588945
31,32,Myron,Lil Uzi Vert,13533191
32,33,Before You Go,Lewis Capaldi,13348029
33,34,Señorita,Shawn Mendes,13127276
34,35,P2,Lil Uzi Vert,12913888
35,36,That Way - Bonus Track,Lil Uzi Vert,12877328
36,37,Stupid Love,Lady Gaga,12300045
37,38,Sigues Con El,Dímelo Flow,12223806
38,39,No Time To Die,Billie Eilish,12214574
39,40,Yo Perreo Sola,Bad Bunny,11928765
40,41,WHATS POPPIN,Jack Harlow,11866541
41,42,After Hours,The Weeknd,11535615
42,43,You should be sad,Halsey,11527455
43,44,My Oh My (feat. DaBaby),Camila Cabello,11366753
44,45,RITMO (Bad Boys For Life),Black Eyed Peas,11298895
45,46,Morado,J Balvin,11216113
46,47,Moral of the Story,Ashe,10942315
47,48,High Fashion (feat. Mustard),Roddy Ricch,10861309
48,49,Diosa,Myke Towers,10112202
49,50,Tattoo,Rauw Alejandro,10049275
50,51,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,10029556
51,52,Ride It,Regard,9884008
52,53,Baby Pluto,Lil Uzi Vert,9829732
53,54,CITY OF ANGELS,24kGoldn,9681551
54,55,Hola - Remix,Dalex,9541179
55,56,lovely (with Khalid),Billie Eilish,9523633
56,57,hot girl bummer,blackbear,9266963
57,58,Lose Control,MEDUZA,9174163
58,59,I Don't Care (with Justin Bieber),Ed Sheeran,9122456
59,60,Pero Ya No,Bad Bunny,9075021
60,61,Bean (Kobe) [feat. Chief Keef],Lil Uzi Vert,9039518
61,62,Boss Bitch,Doja Cat,8814443
62,63,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,8746267
63,64,To Die For,Sam Smith,8589657
64,65,"10,000 Hours (with Justin Bieber)",Dan + Shay,8539551
65,66,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,8528593
66,67,Lucid Dreams,Juice WRLD,8448420
67,68,Yessirskiii,Lil Uzi Vert,8374259
68,69,If the World Was Ending - feat. Julia Michaels,JP Saxe,8316157
69,70,What A Man Gotta Do,Jonas Brothers,8241181
70,71,Forever (feat. Post Malone & Clever),Justin Bieber,8128820
71,72,What If I Told You That I Love You,Ali Gatie,8117572
72,73,Keii,Anuel AA,8088142
73,74,I Love Me,Demi Lovato,8046963
74,75,No Idea,Don Toliver,7907726
75,76,Beautiful People (feat. Khalid),Ed Sheeran,7876096
76,77,Ballin' (with Roddy Ricch),Mustard,7875773
77,78,when the party's over,Billie Eilish,7817939
78,79,HIGHEST IN THE ROOM,Travis Scott,7779418
79,80,Lo Mein,Lil Uzi Vert,7695493
80,81,Know Your Worth,Khalid,7563887
81,82,A Tu Merced,Bad Bunny,7467083
82,83,Me Gusta,Shakira,7449196
83,84,Muévelo,Nicky Jam,7437789
84,85,Suicidal,YNW Melly,7414237
85,86,WANNABE,ITZY,7369150
86,87,Bichiyal,Bad Bunny,7338342
87,88,Shallow,Lady Gaga,7329062
88,89,Never Seen the Rain,Tones And I,7248384
89,90,rockstar (feat. 21 Savage),Post Malone,7193560
90,91,China,Anuel AA,7190088
91,92,BOP,DaBaby,7171080
92,93,Lalala,Y2K,7162705
93,94,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,7075573
94,95,Lose You To Love Me,Selena Gomez,7004930
95,96,Watermelon Sugar,Harry Styles,6924413
96,97,7 rings,Ariana Grande,6908892
97,98,It's You,Ali Gatie,6897629
98,99,Goodbyes (Feat. Young Thug),Post Malone,6831987
99,100,Falling,Harry Styles,6786222
100,101,Believer,Imagine Dragons,6659890
101,102,LA CANCIÓN,J Balvin,6627891
102,103,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6608163
103,104,Cardigan,Don Toliver,6586204
104,105,Happier,Marshmello,6576011
105,106,25/8,Bad Bunny,6547479
106,107,Callaita,Bad Bunny,6512954
107,108,SUGAR,BROCKHAMPTON,6488561
108,109,Silly Watch,Lil Uzi Vert,6442451
109,110,Fantasias,Rauw Alejandro,6417268
110,111,Soliá,Bad Bunny,6399778
111,112,Old Town Road - Remix,Lil Nas X,6362681
112,113,No Judgement,Niall Horan,6344554
113,114,Skechers,DripReport,6324169
114,115,Ransom,Lil Tecca,6290137
115,116,In Your Eyes (feat. Alida),Robin Schulz,6270430
